order_id,brand_id,time_slot_id,zone_id,orders_date,platform_id,gross_revenue,food_cost,packing_cost,platform_commission_pct,customer_delivery_paid,discount_applied,order_status,delivery_cost_brand
ORD-040038,3,9,2,2024-06-08,1,186.22,75.65,19.63,0.25,31.62,28.61,Delivered,35
ORD-040039,3,6,1,2023-10-13,1,284.6,119,22.5,0.25,19.44,36.68,Delivered,25
ORD-040040,3,9,1,2023-10-08,1,292.87,128.98,18.82,0.25,21.09,24.17,Delivered,25
ORD-040041,2,2,2,2023-11-04,1,324.8,110.07,23.08,0.25,32.81,49.62,Delivered,35
ORD-040042,3,6,5,2024-02-25,1,338.68,143.75,20.5,0.25,51.54,39.21,Delivered,90
ORD-040043,3,10,2,2024-01-27,1,320.34,130.47,14.95,0.25,31.72,48.52,Delivered,35
ORD-040044,3,8,3,2023-06-09,1,296.12,120.01,22.24,0.25,43.93,46.1,Delivered,45
ORD-040045,2,5,1,2023-02-19,3,442.7,173.79,23.59,0.05,18.34,8.23,Delivered,25
ORD-040046,4,5,5,2024-06-10,2,299.87,106.89,18.9,0.22,56.44,51.3,Delivered,90
ORD-040047,1,7,2,2023-06-30,1,215.94,82.09,14.57,0.25,34.72,33.52,Refunded,35
ORD-040048,4,10,2,2024-01-14,1,230.53,85.76,15.06,0.25,32.33,31.08,Delivered,35
ORD-040049,2,10,5,2024-04-14,1,291.77,102.66,23.08,0.25,63.88,35.11,Delivered,90
ORD-040050,3,8,2,2023-07-22,1,283.82,117.43,19.37,0.25,31.28,39.18,Delivered,35
ORD-040051,3,4,2,2024-01-12,1,280.63,110.73,18.5,0.25,30.48,49.94,Delivered,35
ORD-040052,4,7,1,2023-03-23,2,253.95,90.72,15.63,0.22,18.78,42.98,Delivered,25
ORD-040053,3,8,3,2024-06-19,1,245.36,99.09,19.04,0.25,41.33,38.93,Delivered,45
ORD-040054,6,9,2,2023-02-15,1,184.58,56.84,11.29,0.25,33.19,22.17,Delivered,35
ORD-040055,5,9,5,2023-09-30,1,237.07,79.88,16.68,0.25,55.22,26.87,Delivered,90
ORD-040056,2,10,1,2023-11-20,1,314.12,103.09,22.1,0.25,20.41,56.39,Cancelled,25
ORD-040057,3,6,2,2024-03-29,1,195.07,86,18.49,0.25,29.24,15.91,Delivered,35
ORD-040058,4,10,3,2023-04-02,1,301.14,110.26,21.13,0.25,40.62,44.73,Cancelled,45
ORD-040059,2,9,2,2023-10-01,2,373.25,129.25,20.34,0.22,30.13,50.13,Delivered,35
ORD-040060,1,8,2,2023-07-22,2,247.81,89.03,18.83,0.22,32.29,49.96,Delivered,35
ORD-040061,6,8,2,2023-07-28,2,185.62,55.54,13.14,0.22,27.47,26.93,Delivered,35
ORD-040062,6,10,1,2024-03-25,1,212.25,56.27,12.59,0.25,20.23,51.47,Delivered,25
ORD-040063,2,6,2,2023-01-05,1,316.01,104.62,25.07,0.25,24.96,54.47,Delivered,35
ORD-040064,2,6,2,2024-03-10,1,355.17,119.48,23.6,0.25,26.57,56.46,Delivered,35
ORD-040065,1,7,2,2024-04-08,2,205.52,78.62,19.68,0.22,31.36,30.81,Delivered,35
ORD-040066,4,9,3,2024-05-20,2,326.54,117.94,21.57,0.22,37.8,52.27,Delivered,45
ORD-040067,4,8,2,2024-01-07,1,277.71,106.09,20.01,0.25,32.84,30.98,Delivered,35
ORD-040068,3,8,2,2023-08-09,2,316.46,126.41,22.87,0.22,32.07,53.1,Delivered,35
ORD-040069,2,6,1,2023-09-24,2,358.93,122.93,19.54,0.22,19.74,51.6,Cancelled,25
ORD-040070,3,3,1,2024-06-19,2,257.31,103.3,18.15,0.22,20.81,42.11,Delivered,25
ORD-040071,3,8,1,2024-05-11,2,313.78,123.33,17.31,0.22,21.72,56.85,Cancelled,25
ORD-040072,3,8,2,2023-10-12,2,282.36,117.66,16.78,0.22,31.27,37.23,Delivered,35
ORD-040073,3,6,1,2024-06-08,1,280.33,112.84,22.39,0.25,19.03,45.25,Delivered,25
ORD-040074,1,8,2,2024-04-12,1,195.3,75.23,19.54,0.25,25.6,28.12,Delivered,35
ORD-040075,3,8,1,2024-05-20,2,334.26,136.75,17.41,0.22,16.4,49.36,Cancelled,25
ORD-040076,3,6,4,2024-02-04,1,288.2,126.62,21.7,0.25,47.12,24.41,Delivered,70
ORD-040077,3,9,5,2024-04-29,3,389.53,180.24,19.38,0.05,59.51,14.03,Delivered,90
ORD-040078,1,8,2,2024-05-16,1,194.13,75.91,17.2,0.25,30.26,25.43,Delivered,35
ORD-040079,5,3,2,2023-03-11,2,187.24,60.06,13.47,0.22,30.17,29.18,Delivered,35
ORD-040080,5,5,1,2024-06-17,1,237.43,81.1,14.77,0.25,18.38,24,Delivered,25
ORD-040081,3,9,1,2023-08-09,1,191.33,84.08,22.26,0.25,20.33,16.16,Delivered,25
ORD-040082,4,9,3,2023-10-01,1,232.83,87.74,19.35,0.25,43.52,28.78,Delivered,45
ORD-040083,3,4,5,2024-03-30,2,274.98,104.93,18.64,0.22,52.17,56.38,Delivered,90
ORD-040084,3,10,3,2024-01-26,2,226.29,65.81,20.69,0.22,41.82,89.18,Delivered,45
ORD-040085,4,6,2,2024-05-16,1,258.65,97.31,17.45,0.25,28.29,32.35,Delivered,35
ORD-040086,3,6,3,2023-09-10,1,204.73,87.95,17.74,0.25,31.19,21.5,Cancelled,45
ORD-040087,6,6,4,2023-08-27,1,223.62,67.07,12.46,0.25,45.14,32,Delivered,70
ORD-040088,4,9,2,2023-01-26,1,247.58,80.2,17.27,0.25,32.3,61.07,Delivered,35
ORD-040089,6,8,1,2023-10-12,1,176.21,52.97,13.67,0.25,23.42,24.86,Delivered,25
ORD-040090,3,8,4,2024-02-26,3,239.32,108.18,20.57,0.05,52.5,13.95,Delivered,70
ORD-040091,1,8,3,2023-07-22,2,210.63,77.56,16.79,0.22,42.57,38.27,Delivered,45
ORD-040092,2,8,1,2023-10-12,2,411.53,132.02,22.54,0.22,20.02,81.48,Delivered,25
ORD-040093,4,6,1,2023-06-06,1,273.06,102.19,18.46,0.25,20.26,35.42,Delivered,25
ORD-040094,5,9,2,2024-03-23,1,213.06,71.61,14.91,0.25,33.34,24.61,Delivered,35
ORD-040095,3,8,2,2023-02-17,1,317.46,125.58,19.13,0.25,26.53,55.84,Delivered,35
ORD-040096,3,9,2,2024-02-16,1,320.11,141.18,18.52,0.25,31.99,25.99,Delivered,35
ORD-040097,1,4,3,2023-08-30,1,136.3,52.43,17.39,0.25,37.19,19.78,Delivered,45
ORD-040098,1,6,2,2023-02-01,1,324.52,121.88,18.96,0.25,29.84,53.68,Delivered,35
ORD-040099,1,9,1,2024-04-27,1,230.4,90.2,17.08,0.25,18.95,29.95,Delivered,25
ORD-040100,4,6,5,2023-10-27,3,332.86,134.56,18.01,0.05,55.74,19.92,Refunded,90
ORD-040101,5,7,2,2023-12-25,3,222.28,81.29,13.9,0.05,26.72,8.36,Delivered,35
ORD-040102,2,7,2,2024-03-01,1,297.14,105.07,20.69,0.25,30.99,34.47,Delivered,35
ORD-040103,2,9,2,2024-01-23,1,383.5,132.8,22.28,0.25,30.03,51.5,Delivered,35
ORD-040104,3,9,1,2024-03-01,2,243.09,95.55,17.14,0.22,22.28,44.02,Delivered,25
ORD-040105,1,5,2,2024-03-17,1,184.87,68.35,17,0.25,27.91,32.99,Delivered,35
ORD-040106,2,3,3,2023-12-20,2,472.74,164.76,25.63,0.22,38.13,60.85,Delivered,45
ORD-040107,6,7,1,2023-08-23,3,226.45,75.62,12.3,0.05,18.74,10.38,Delivered,25
ORD-040108,4,6,5,2023-06-20,1,274.48,102.7,15.99,0.25,70.67,35.64,Delivered,90
ORD-040109,1,6,3,2024-05-21,2,217.44,84.5,16.16,0.22,41.15,29.66,Delivered,45
ORD-040110,1,3,3,2024-06-19,2,235.78,89.67,17.23,0.22,37.79,36.51,Delivered,45
ORD-040111,3,6,1,2023-08-19,1,277.72,113.01,21.55,0.25,20.2,42.28,Delivered,25
ORD-040112,6,9,5,2023-03-26,1,192.32,59.57,12.06,0.25,54.56,22.13,Delivered,90
ORD-040113,5,5,5,2023-06-08,3,244.57,89.34,17.22,0.05,54.25,9.46,Delivered,90
ORD-040114,2,8,1,2024-01-28,1,295.65,101.63,22.07,0.25,21.97,41.57,Cancelled,25
ORD-040115,1,8,5,2023-05-06,2,193.9,75.74,18.87,0.22,54.26,25.58,Delivered,90
ORD-040116,2,2,3,2024-03-25,1,406.08,113.52,23.89,0.25,37.49,122.29,Delivered,45
ORD-040117,1,9,4,2024-05-31,1,202.46,82.87,17.64,0.25,48.9,18.31,Cancelled,70
ORD-040118,2,3,1,2024-06-16,1,340.31,116.88,22.97,0.25,20.12,48.12,Delivered,25
ORD-040119,2,7,2,2023-01-08,1,275.68,98.41,20.15,0.25,29.84,29.65,Delivered,35
ORD-040120,4,10,5,2024-06-14,2,244.91,85.08,16.94,0.22,60.01,47.05,Cancelled,90
ORD-040121,1,9,2,2024-03-06,2,229.81,89.4,19.59,0.22,30.83,31.15,Cancelled,35
ORD-040122,3,6,2,2023-03-07,2,270.73,105.36,16.87,0.22,29.02,51.24,Delivered,35
ORD-040123,4,1,4,2023-09-18,1,317.99,118.76,20.25,0.25,54.07,41.8,Delivered,70
ORD-040124,1,8,1,2024-02-13,1,204.27,81.41,17.75,0.25,19.66,23.35,Delivered,25
ORD-040125,5,10,2,2024-06-14,1,154.38,51.49,15.04,0.25,28.45,18.89,Delivered,35
ORD-040126,1,8,3,2023-04-30,2,220.87,87.26,15.56,0.22,40.96,26.96,Delivered,45
ORD-040127,3,5,2,2023-04-07,2,212.65,87.22,20.75,0.22,31.83,30.95,Delivered,35
ORD-040128,1,7,4,2023-10-17,2,215.46,78.46,20.14,0.22,51.08,41.1,Refunded,70
ORD-040129,5,6,2,2024-06-18,1,245.36,80.75,16.81,0.25,27.91,32.86,Delivered,35
ORD-040130,3,9,3,2024-06-19,3,371.42,173.66,19.31,0.05,42.83,9.62,Delivered,45
ORD-040131,3,9,2,2023-06-11,1,214.53,89.28,20.61,0.25,31.41,28.53,Delivered,35
ORD-040132,2,9,3,2023-08-01,1,339.53,123.4,20.5,0.25,39.74,31.04,Delivered,45
ORD-040133,2,9,2,2024-05-24,3,416.95,163.57,21.74,0.05,30.49,8.02,Delivered,35
ORD-040134,3,9,2,2024-03-03,1,247,102.21,21.19,0.25,28.57,34.06,Delivered,35
ORD-040135,4,7,4,2024-06-20,1,208.78,76.99,17.1,0.25,56.23,29.74,Delivered,70
ORD-040136,2,6,1,2024-05-17,1,312.61,108.63,26.11,0.25,19.36,41.04,Delivered,25
ORD-040137,4,8,2,2023-06-04,1,252.79,91.82,15.21,0.25,31.84,39.25,Delivered,35
ORD-040138,3,9,1,2024-03-16,1,380.61,152.37,18.18,0.25,20.01,63.18,Delivered,25
ORD-040139,3,2,2,2023-02-07,1,281.25,116.95,21.28,0.25,32.49,37.61,Cancelled,35
ORD-040140,1,6,2,2024-04-11,2,190.66,66.06,18.3,0.22,27.78,43.86,Delivered,35
ORD-040141,1,3,1,2023-12-25,1,295.93,103.43,18.72,0.25,19.28,66.09,Delivered,25
ORD-040142,3,8,2,2024-06-13,1,236.39,95.27,22.63,0.25,26.8,37.91,Delivered,35
ORD-040143,6,7,1,2024-06-15,1,164.93,47.89,12.05,0.25,18.78,28.1,Delivered,25
ORD-040144,2,2,5,2023-02-09,1,326.34,114.91,21.42,0.25,60.03,39.06,Delivered,90
ORD-040145,1,4,4,2023-04-27,1,210.86,82.77,16.8,0.25,51.63,26.92,Delivered,70
ORD-040146,3,9,5,2023-10-24,1,276.1,116.21,18.83,0.25,62.83,34,Delivered,90
ORD-040147,1,9,2,2024-05-10,2,187.77,72.69,16.89,0.22,26.44,26.23,Delivered,35
ORD-040148,2,9,1,2024-04-10,2,316.26,107.91,19.39,0.22,19.39,46.49,Delivered,25
ORD-040149,3,6,1,2024-06-16,1,211.6,85.28,20.66,0.25,22.22,33.94,Delivered,25
ORD-040150,1,7,3,2024-01-03,1,219.11,85.32,16.88,0.25,45.71,29.52,Delivered,45
ORD-040151,5,9,1,2023-06-28,2,210.58,66.13,14.12,0.22,18.89,36.55,Delivered,25
ORD-040152,5,8,2,2023-01-22,1,191.19,63.05,15.67,0.25,28.73,25.27,Delivered,35
ORD-040153,6,9,2,2023-06-09,1,197.07,63.18,10.73,0.25,36.53,16.55,Delivered,35
ORD-040154,3,9,4,2024-01-31,2,226.19,84.82,18.28,0.22,50.33,49.49,Delivered,70
ORD-040155,2,1,2,2024-06-01,1,391.52,138.34,19.83,0.25,29.51,45.68,Delivered,35
ORD-040156,4,9,2,2023-08-02,1,321.01,116.29,16.01,0.25,32.62,50.56,Delivered,35
ORD-040157,4,8,2,2024-05-08,3,190.47,79.27,16.61,0.05,28.59,6.13,Delivered,35
ORD-040158,3,5,5,2023-09-08,1,315.47,127.19,21.23,0.25,66.38,50.49,Delivered,90
ORD-040159,3,10,2,2023-07-26,1,295.25,127.15,22.24,0.25,27.48,30.36,Cancelled,35
ORD-040160,5,8,5,2023-11-08,1,212.69,72.75,14.67,0.25,62.2,21.23,Delivered,90
ORD-040161,1,9,1,2023-10-02,1,228.98,77.97,15.71,0.25,18.59,55.71,Delivered,25
ORD-040162,1,7,3,2024-05-26,1,241.79,92.19,20.31,0.25,41.94,36.92,Delivered,45
ORD-040163,3,5,3,2023-10-15,2,306.44,115.33,21.62,0.22,41.8,66.16,Delivered,45
ORD-040164,3,8,1,2023-07-09,1,308.76,130.16,22.35,0.25,21.1,37.59,Delivered,25
ORD-040165,3,7,2,2024-04-21,1,258.53,103.85,22.52,0.25,29.1,42.17,Delivered,35
ORD-040166,3,9,2,2024-06-30,1,269.07,110.52,20,0.25,30.47,38.83,Delivered,35
ORD-040167,3,6,2,2024-01-19,3,280.16,128.85,16.9,0.05,23.33,11.73,Delivered,35
ORD-040168,3,10,4,2023-06-24,1,343.02,147.96,19.21,0.25,44.66,34.76,Delivered,70
ORD-040169,1,10,5,2023-06-18,3,203.31,86.2,17.29,0.05,69.54,11.75,Delivered,90
ORD-040170,1,9,3,2023-02-14,3,240.95,106.14,18.59,0.05,42.96,5.08,Delivered,45
ORD-040171,3,6,4,2023-03-02,1,285.87,123.26,20.26,0.25,54.8,29.07,Delivered,70
ORD-040172,6,5,2,2024-05-27,3,164.89,54.6,13.92,0.05,28.66,8.9,Delivered,35
ORD-040173,4,7,2,2023-03-14,2,305.64,109.32,19.25,0.22,26.31,51.4,Delivered,35
ORD-040174,2,6,3,2023-10-24,1,278.02,102.23,23.52,0.25,43.41,22.45,Delivered,45
ORD-040175,3,9,5,2024-02-12,3,333.74,158.54,22.71,0.05,60.27,3.45,Cancelled,90
ORD-040176,5,1,2,2024-04-25,1,222.78,77.22,14.07,0.25,32.84,19.56,Delivered,35
ORD-040177,3,4,3,2023-05-05,1,311.58,129.56,20.23,0.25,40,41.66,Delivered,45
ORD-040178,1,6,2,2023-09-30,2,204.72,73.65,15.31,0.22,31.01,41.05,Cancelled,35
ORD-040179,3,4,3,2023-06-25,1,329.26,134.67,18.41,0.25,34.28,48.69,Delivered,45
ORD-040180,2,6,1,2023-06-27,2,395.82,137.4,23.09,0.22,21.95,52.31,Delivered,25
ORD-040181,6,6,5,2023-07-24,2,176.75,48.54,12.61,0.22,64.5,38.05,Delivered,90
ORD-040182,2,10,1,2023-12-19,3,413.11,158.84,21.28,0.05,22.73,16,Delivered,25
ORD-040183,1,7,1,2023-01-14,1,234.67,92.12,18.75,0.25,19.06,29.96,Delivered,25
ORD-040184,3,8,2,2023-09-15,2,225.17,93.95,21.95,0.22,31.04,29.44,Delivered,35
ORD-040185,1,9,1,2023-05-16,1,184.84,76.26,17.66,0.25,20.07,15.38,Delivered,25
ORD-040186,5,5,3,2024-06-18,1,247.57,83.09,14.09,0.25,41.82,28.92,Delivered,45
ORD-040187,3,6,2,2023-12-17,1,328.28,137.73,22.73,0.25,30.84,41.34,Cancelled,35
ORD-040188,3,8,1,2024-05-04,1,297.66,126.8,18.97,0.25,19.82,33.5,Delivered,25
ORD-040189,2,4,3,2023-05-22,1,376.18,127.97,21.91,0.25,36.71,56.26,Delivered,45
ORD-040190,3,9,2,2024-04-07,3,279.75,126.83,17.38,0.05,32.02,15.52,Delivered,35
ORD-040191,5,6,3,2023-09-18,1,241.49,83.66,15.07,0.25,35.55,21.32,Delivered,45
ORD-040192,1,10,3,2023-05-09,1,249.61,96.39,16.69,0.25,38.77,35.4,Delivered,45
ORD-040193,1,9,2,2024-03-16,1,230.43,95.13,18.52,0.25,30.46,19.04,Delivered,35
ORD-040194,3,6,2,2024-03-17,3,304.12,137.71,19.6,0.05,25.71,17.23,Delivered,35
ORD-040195,5,8,1,2024-06-29,1,208.02,65.15,18.3,0.25,18.04,36.57,Delivered,25
ORD-040196,3,4,5,2024-03-25,1,278.26,110.14,19.51,0.25,61.91,48.81,Delivered,90
ORD-040197,5,3,1,2023-04-20,2,214.34,64.27,16.17,0.22,20.66,45.22,Delivered,25
ORD-040198,6,10,1,2023-08-03,1,171.11,54.26,10.42,0.25,19.84,16.09,Delivered,25
ORD-040199,1,4,3,2023-10-05,3,186.81,80.67,17.05,0.05,36.48,7.54,Delivered,45
ORD-040200,3,4,5,2023-04-06,2,328.3,138.23,15.12,0.22,59.71,40.33,Delivered,90
ORD-040201,5,9,3,2024-03-28,3,185.84,68.4,16.23,0.05,43.9,5.83,Delivered,45
ORD-040202,4,7,5,2023-11-15,3,285.66,116.05,18.97,0.05,56.68,15.78,Delivered,90
ORD-040203,3,9,3,2024-06-09,3,266.02,123.16,20.74,0.05,39,9.44,Delivered,45
ORD-040204,5,7,2,2023-12-20,1,241.44,82.04,15.09,0.25,26.75,25.55,Delivered,35
ORD-040205,4,6,1,2023-11-12,3,267.07,104.09,18.93,0.05,19.21,25,Delivered,25
ORD-040206,3,4,3,2023-02-25,1,195.43,82.46,18.76,0.25,42.31,23.63,Cancelled,45
ORD-040207,1,4,5,2023-04-22,3,182.37,78.58,20.03,0.05,68.63,7.74,Delivered,90
ORD-040208,4,7,2,2024-04-25,1,219.11,80.16,18,0.25,32.7,32.69,Delivered,35
ORD-040209,1,10,3,2024-06-27,1,224.39,87.26,14.53,0.25,39.89,30.47,Delivered,45
ORD-040210,2,6,2,2023-09-18,2,270.19,90.8,22.49,0.22,28.24,43.18,Delivered,35
ORD-040211,4,10,3,2024-04-08,1,226.52,81.1,18.8,0.25,38.61,37.91,Delivered,45
ORD-040212,3,9,3,2024-01-08,1,361.18,151.89,20.6,0.25,43.83,44.75,Delivered,45
ORD-040213,4,8,2,2024-06-15,2,256.88,90.85,16.11,0.22,27.86,45.61,Delivered,35
ORD-040214,3,4,5,2023-06-17,2,275.71,106.8,19.63,0.22,59.93,53.21,Delivered,90
ORD-040215,5,7,1,2023-11-25,2,225.61,72.13,17.43,0.22,18.41,35.8,Delivered,25
ORD-040216,3,9,2,2023-09-15,2,232.91,90.12,20.66,0.22,30.39,45.16,Delivered,35
ORD-040217,3,6,1,2023-11-24,1,386.24,168.1,17.85,0.25,19.41,36.04,Delivered,25
ORD-040218,1,7,1,2023-07-05,1,279.76,110.52,18.2,0.25,17.95,34.15,Delivered,25
ORD-040219,3,2,2,2023-11-01,1,220.38,90.33,18.48,0.25,23.26,32.2,Delivered,35
ORD-040220,2,6,1,2024-01-06,1,270.1,90.22,21.15,0.25,17.29,44.56,Delivered,25
ORD-040221,4,7,4,2023-03-05,2,343.61,116.65,18.49,0.22,51.25,72.32,Delivered,70
ORD-040222,4,5,1,2024-03-07,1,229.66,85.91,17.25,0.25,22.1,29.86,Delivered,25
ORD-040223,1,5,2,2024-02-17,1,142.56,56.77,21.03,0.25,29.61,16.41,Delivered,35
ORD-040224,3,5,1,2024-05-10,3,245.93,116.62,20.47,0.05,20.32,2.98,Delivered,25
ORD-040225,1,7,3,2023-09-23,3,158.41,68.71,18.14,0.05,42.5,5.72,Delivered,45
ORD-040226,3,3,3,2023-02-18,3,223.37,104.13,20.46,0.05,46.82,6.44,Delivered,45
ORD-040227,6,8,4,2023-10-11,1,152.58,47.65,12.84,0.25,52.25,16.44,Cancelled,70
ORD-040228,5,5,2,2023-04-14,2,307.69,94.73,13.92,0.22,31.65,58.4,Delivered,35
ORD-040229,2,7,4,2024-01-19,2,296.7,98.63,23.98,0.22,45.79,50.13,Delivered,70
ORD-040230,1,8,2,2023-02-06,1,236.59,96.24,18.27,0.25,30.87,22.72,Delivered,35
ORD-040231,4,9,1,2023-08-27,1,329.15,122.3,15.41,0.25,19.02,44.74,Refunded,25
ORD-040232,3,6,1,2023-03-06,2,300.7,126.11,18.59,0.22,20.12,37.98,Delivered,25
ORD-040233,3,9,1,2023-01-03,1,270.96,109.67,19.99,0.25,19.96,42.49,Delivered,25
ORD-040234,4,4,2,2024-06-15,1,293.99,107.56,14.22,0.25,31.96,43.84,Delivered,35
ORD-040235,2,1,2,2024-06-29,3,376.77,144.74,20.01,0.05,30.63,14.91,Delivered,35
ORD-040236,2,4,1,2023-12-02,1,299.32,106.41,23.16,0.25,21,33.3,Delivered,25
ORD-040237,3,8,2,2023-06-18,1,195.69,86.38,19.52,0.25,28.26,15.74,Delivered,35
ORD-040238,2,9,3,2024-05-25,2,340.38,118.97,23.32,0.22,44.77,42.96,Delivered,45
ORD-040239,3,10,3,2024-05-31,1,353.66,142.48,20.28,0.25,38.89,56.83,Delivered,45
ORD-040240,3,5,3,2024-04-27,2,303.48,127.09,19.82,0.22,37.65,38.7,Delivered,45
ORD-040241,2,5,3,2023-11-25,2,333.26,114.64,23.69,0.22,44.32,46.65,Delivered,45
ORD-040242,1,5,4,2023-02-28,1,235.93,95.04,22.27,0.25,47.01,24.72,Delivered,70
ORD-040243,5,5,2,2023-03-08,1,188.16,58.44,13.97,0.25,29.35,34.38,Delivered,35
ORD-040244,4,7,5,2024-05-18,1,300.16,111.81,19.52,0.25,56.11,40.14,Delivered,90
ORD-040245,3,8,1,2024-05-08,1,267.73,107.77,20.97,0.25,19.02,43.2,Delivered,25
ORD-040246,1,8,3,2023-09-28,1,193.51,79.87,16.38,0.25,38.92,16.03,Delivered,45
ORD-040247,3,3,1,2023-08-06,3,215.35,100.49,20.16,0.05,20.26,5.99,Delivered,25
ORD-040248,1,7,1,2024-01-17,1,203.15,79.45,18.85,0.25,18.96,26.59,Delivered,25
ORD-040249,5,7,3,2024-04-06,1,224.32,73.11,15.77,0.25,40.66,31.93,Delivered,45
ORD-040250,3,8,2,2024-03-01,1,263.82,112.24,21.3,0.25,30.24,29.98,Delivered,35
ORD-040251,1,8,1,2024-01-01,1,238.4,89.78,18.32,0.25,19.15,38.9,Delivered,25
ORD-040252,1,3,1,2023-06-13,1,192.1,75.15,15.24,0.25,20.48,25.09,Delivered,25
ORD-040253,6,8,1,2023-07-01,2,197.41,59.37,13.16,0.22,20.93,27.79,Delivered,25
ORD-040254,1,5,5,2024-02-26,1,285.23,115.95,17.62,0.25,61.62,27.57,Cancelled,90
ORD-040255,5,7,3,2024-04-04,2,236.66,73.91,14.43,0.22,38.27,42.16,Delivered,45
ORD-040256,6,3,2,2023-03-29,1,160.27,50.99,11.41,0.25,24.34,14.58,Delivered,35
ORD-040257,2,8,4,2023-05-16,3,344.06,131.17,21.07,0.05,54.64,16.13,Delivered,70
ORD-040258,3,4,2,2024-02-03,1,242.87,101.75,20.76,0.25,28.11,30.89,Delivered,35
ORD-040259,4,8,2,2023-09-04,1,226.9,82.99,20.6,0.25,32.98,33.91,Delivered,35
ORD-040260,3,2,3,2023-12-06,1,266.9,113.59,17.98,0.25,35.5,30.26,Delivered,45
